model,preset,thr,f1,precision,recall,coverage,queries
embedding-data/deberta-sentence-transformer,A_semantic_only,-1.0,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,1.0,0.2222222222222222,0.125,1.0,0.9302325581395349,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-1.0,0.28,0.16279069767441862,1.0,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.9500000000000002,0.26666666666666666,0.15584415584415584,0.9230769230769231,0.8953488372093024,86
embedding-data/deberta-sentence-transformer,E_diversity,1.0,0.2380952380952381,0.13513513513513514,1.0,0.8604651162790697,86
embedding-data/deberta-sentence-transformer,F_recall_first,0.9500000000000002,0.2222222222222222,0.125,1.0,0.8372093023255814,86
embedding-data/deberta-sentence-transformer,G_mnn_heavy,1.0,0.17777777777777776,0.0975609756097561,1.0,0.9534883720930233,86
embedding-data/deberta-sentence-transformer,H_zfilter,1.0,0.2528735632183908,0.14473684210526316,1.0,0.8837209302325582,86
embedding-data/deberta-sentence-transformer,I_short_skills_bias,1.0,0.26966292134831454,0.15789473684210525,0.9230769230769231,0.8837209302325582,86
embedding-data/deberta-sentence-transformer,J_char_heavy,1.0,0.30612244897959184,0.18072289156626506,1.0,0.9651162790697675,86
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0.7000000000000002,0.37499999999999994,0.2727272727272727,0.6,0.2558139534883721,86
sentence-transformers/all-MiniLM-L6-v2,B_hybrid_light,1.0,0.37333333333333335,0.25,0.7368421052631579,0.6511627906976745,86
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,-1.0,0.37735849056603776,0.23255813953488372,1.0,1.0,86
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,0.9000000000000001,0.3877551020408163,0.24358974358974358,0.95,0.9069767441860465,86
sentence-transformers/all-MiniLM-L6-v2,E_diversity,0.9500000000000002,0.4,0.26153846153846155,0.85,0.7558139534883721,86
sentence-transformers/all-MiniLM-L6-v2,F_recall_first,0.9500000000000002,0.39999999999999997,0.36363636363636365,0.4444444444444444,0.2558139534883721,86
sentence-transformers/all-MiniLM-L6-v2,G_mnn_heavy,1.0,0.3764705882352941,0.24242424242424243,0.8421052631578947,0.7674418604651163,86
sentence-transformers/all-MiniLM-L6-v2,H_zfilter,1.0,0.3636363636363636,0.2553191489361702,0.631578947368421,0.5465116279069767,86
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,1.0,0.4146341463414634,0.2786885245901639,0.8095238095238095,0.7093023255813954,86
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,1.0,0.41509433962264153,0.2619047619047619,1.0,0.9767441860465116,86
sentence-transformers/all-distilroberta-v1,A_semantic_only,0.6000000000000001,0.29411764705882354,0.1724137931034483,1.0,0.6744186046511628,86
sentence-transformers/all-distilroberta-v1,B_hybrid_light,1.0,0.4057971014492754,0.27450980392156865,0.7777777777777778,0.5930232558139535,86
sentence-transformers/all-distilroberta-v1,C_lex_sem_strong,1.0,0.38095238095238093,0.23529411764705882,1.0,0.9883720930232558,86
sentence-transformers/all-distilroberta-v1,D_char_jaccard,1.0,0.3666666666666667,0.2558139534883721,0.6470588235294118,0.5,86
sentence-transformers/all-distilroberta-v1,E_diversity,1.0,0.3934426229508197,0.27906976744186046,0.6666666666666666,0.5,86
sentence-transformers/all-distilroberta-v1,F_recall_first,0.8,0.4358974358974359,0.29310344827586204,0.85,0.6744186046511628,86
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,1.0,0.35897435897435903,0.23333333333333334,0.7777777777777778,0.6976744186046512,86
sentence-transformers/all-distilroberta-v1,H_zfilter,0.9500000000000002,0.4444444444444445,0.3018867924528302,0.8421052631578947,0.6162790697674418,86
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,1.0,0.3888888888888889,0.2641509433962264,0.7368421052631579,0.6162790697674418,86
sentence-transformers/all-distilroberta-v1,J_char_heavy,0.9000000000000001,0.38095238095238093,0.23529411764705882,1.0,0.9883720930232558,86
