q_idx,q_text,rank,score,sim,z,jacc,lenpen,bm25,mnn,cand_idx,cand_label,cand_text,score2,sim2,margin_top1_top2,delta_sim_top1_top2,accepted,near_threshold,TP,FP,FN
2,"recommend technical design or process changes to improve efficiency, quality, or performance",1,1.3025768681719545,0.6304696798324585,2.64729380607605,0.2727272808551788,0.2938932880066219,1.0,1,51,6385c0e2eb2e,recommend organizational process or policy changes,1.2921781613911425,0.6696027517318726,0.010398706780812006,-0.03913307189941406,True,True,True,False,False
8,develop operational methods or processes that use green materials or emphasize sustainability,1,1.2727304938314905,0.7200222015380859,3.2761075496673584,0.0714285746216774,0.34657354027998,0.3971492778525809,1,148,253c9a1feb09,research design or application of green technologies,0.9504258928478804,0.6135136485099792,0.32230460098361013,0.10650855302810669,False,True,False,False,False
27,maintain regulatory or compliance documentation,1,1.297467065128411,0.7535831332206726,3.433492660522461,0.1111111119389534,0.2027325123874243,0.4288547766425595,1,196,0f2541e582f8,review documents or materials for compliance with policies or regulations,1.1498761636590438,0.6050138473510742,0.14759090146936726,0.1485692858695984,True,True,False,False,False
36,analyze data to inform operational decisions or activities,1,1.2891080029217756,0.825513482093811,3.762401342391968,0.3000000119209289,0.077075328008869,0.4590551812799671,1,22,bab0b2935945,"analyze operational data to evaluate operations, processes or products",1.266870049027139,0.7628011107444763,0.022237953894636675,0.06271237134933472,False,True,False,False,False
63,analyze design or requirements information for mechanical equipment or systems,1,1.302638999938256,0.7003419995307922,2.7069036960601807,0.2000000029802322,0.1682360897391828,0.4796411828433709,1,84,c6940290ea74,develop technical specifications for systems or equipment,1.2080593671335522,0.6754481196403503,0.09457963280470372,0.024893879890441895,True,True,False,False,False
74,install production equipment or systems,1,1.309005467942974,0.6554524898529053,2.976186752319336,0.1666666716337204,0.1438409945592359,0.468328449754479,1,135,4055e1544ee0,assemble equipment or components,1.1122104874070724,0.6370960474014282,0.1967949805359015,0.01835644245147705,True,True,False,True,False
89,"assess the cost effectiveness of products, projects, or services",1,1.3098954977630095,0.6916173696517944,2.951315402984619,0.1111111119389534,0.2027325123874243,0.4643645841699838,1,88,d1809a4492b8,estimate costs of goods or services,1.271519610285759,0.6158115267753601,0.0383758874772504,0.07580584287643433,True,True,True,False,False
129,calibrate scientific or technical equipment,1,1.270898624879877,0.581817090511322,2.974369525909424,0.125,0.1115717506571105,0.3218125782274426,1,70,d5bb4574fc4d,design electronic or computer equipment or instrumentation,1.255961757054002,0.5470517873764038,0.014936867825875,0.03476530313491821,False,True,False,False,False
143,conduct quantitative failure analyses of operational data,1,1.2811455637673572,0.6976070404052734,3.668725728988648,0.1000000014901161,0.0911607617303137,0.3280562791326771,1,54,00ee16f445cd,determine causes of operational problems or failures,0.9176809017993,0.528332531452179,0.36346466196805727,0.16927450895309448,False,True,False,False,False
176,identify opportunities for green initiatives,1,1.297408818405316,0.590866208076477,2.75516128540039,0.125,0.1115717506571105,0.4281843884896617,1,148,253c9a1feb09,research design or application of green technologies,1.2663026867550025,0.5943840742111206,0.031106131650313618,-0.0035178661346435547,True,True,False,False,False
