q_idx,q_text,rank,score,sim,z,jacc,lenpen,bm25,mnn,cand_idx,cand_label,cand_text,score2,sim2,margin_top1_top2,delta_sim_top1_top2,accepted,near_threshold
2,"recommend technical design or process changes to improve efficiency, quality, or performance",1,1.3025768681719545,0.6304696798324585,2.64729380607605,0.2727272808551788,0.2938932880066219,1.0,1,51,6385c0e2eb2e,recommend organizational process or policy changes,1.2921781613911425,0.6696027517318726,0.010398706780812006,-0.03913307189941406,True,True
3,confer with technical personnel to prepare designs or operational plans,1,1.4938121977687735,0.8027191162109375,4.754767894744873,0.2727272808551788,0.0,0.99530758268517,1,62,c6d9ce80244c,confer with other personnel to resolve design or operational problems,0.8246191792190075,0.5721380710601807,0.669193018549766,0.23058104515075684,True,False
4,"communicate technical information to suppliers, contractors, or regulatory agencies",1,1.5166666597127916,0.6534250378608704,3.6551008224487305,0.1666666716337204,0.0,1.0,1,142,c71cb5036aef,"coordinate activities with suppliers, contractors, clients, or other departments",1.363957042895479,0.6301275491714478,0.15270961681731254,0.023297488689422607,True,False
6,research engineering aspects of biological or chemical processes,1,1.461325873819524,0.6770187616348267,3.655814647674561,0.375,0.0911607617303137,1.0,1,206,c32f9f13a109,research microbiological or chemical processes or structures,1.169074839958569,0.6111619472503662,0.29225103386095497,0.06585681438446045,True,False
10,create models of engineering designs or methods,1,1.4761213747238593,0.628574550151825,2.820216417312622,0.2857142984867096,0.1115717506571105,1.0,1,131,c3b47654a283,create physical models or prototypes,1.062753729272692,0.5346645712852478,0.4133676454511672,0.09390997886657715,True,False
11,maintain operational records or records systems,1,1.3510958809049642,0.6364656686782837,2.9152235984802246,0.4000000059604645,0.2554127452163465,1.0,1,43,61355ce7e829,maintain personnel records,1.2824268923999609,0.664044201374054,0.06866898850500336,-0.027578532695770264,True,False
12,supervise engineering or other technical personnel,1,1.4332642269706206,0.8683615326881409,4.306983947753906,0.5,0.1115717506571105,1.0,1,184,389dd43f303d,supervise scientific or technical personnel,1.0865343310824762,0.7167636752128601,0.3467298958881444,0.15159785747528076,True,False
15,prepare detailed work plans,1,1.4250892956125,0.6340194940567017,3.9419238567352295,0.125,0.1115717506571105,0.7623573517492219,1,61,dc17b84d2d6b,review technical documents to plan work,1.1625194872047069,0.5706009268760681,0.2625698084077932,0.06341856718063354,True,False
23,conduct environmental audits,1,1.368149792032223,0.6198819875717163,3.091037034988404,0.125,0.3465735069466602,0.7003880942153806,1,96,1cbedefabffc,analyze environmental regulations to ensure organizational compliance,1.330744621095579,0.5973056554794312,0.03740517093664408,0.022576332092285156,True,False
45,evaluate quality of materials or products,1,1.4332642269706206,0.8469228744506836,4.372511863708496,0.5,0.1115717506571105,1.0,1,190,c2a2570c95d4,test quality of materials or finished products,0.998574567439654,0.6617919206619263,0.4346896595309666,0.18513095378875732,True,False
46,"develop operating strategies, plans, or procedures",1,1.424339909682342,0.7071201801300049,3.3193631172180176,0.2857142984867096,0.1115717506571105,0.8520529570242366,1,48,23ca56c5d573,develop organizational methods or procedures,1.282568605003305,0.6534764766693115,0.14177130467903698,0.05364370346069336,True,False
57,determine operational methods,1,1.4484238436635577,0.7225632667541504,3.219313621520996,0.4000000059604645,0.1438409945592359,1.0,1,140,f07eaef01260,determine operational criteria or specifications,1.0237251852974671,0.5697409510612488,0.42469865836609055,0.1528223156929016,True,False
89,"assess the cost effectiveness of products, projects, or services",1,1.3098954977630095,0.6916173696517944,2.951315402984619,0.1111111119389534,0.2027325123874243,0.4643645841699838,1,88,d1809a4492b8,estimate costs of goods or services,1.271519610285759,0.6158115267753601,0.0383758874772504,0.07580584287643433,True,True
163,collaborate with others to develop or refine designs,1,1.5163258660709202,0.566945493221283,2.9654250144958496,0.1000000014901161,0.0911607617303137,1.0,1,183,ff9c96c6d776,collaborate on research activities with scientists or technical specialists,1.1646354692979108,0.503389835357666,0.3516903967730094,0.06355565786361694,True,False
