dwa_original,dwa1,dwa2,dwa3
train personnel on proper operational procedures,prepare operational reports,confer with other personnel to resolve design or operational problems,monitor operational procedures in technical environments to ensure conformance to standards
prepare procedural documents,prepare proposal documents,prepare financial documents,"prepare contracts, disclosures, or applications"
"recommend technical design or process changes to improve efficiency, quality, or performance",recommend organizational process or policy changes,implement design or process improvements,evaluate technical data to determine effect on designs or plans
confer with technical personnel to prepare designs or operational plans,confer with other personnel to resolve design or operational problems,evaluate technical data to determine effect on designs or plans,provide technical guidance to other personnel
"communicate technical information to suppliers, contractors, or regulatory agencies","coordinate activities with suppliers, contractors, clients, or other departments",communicate organizational information to customers or other stakeholders,"explain engineering drawings, specifications, or other technical information"
design medical devices or appliances,fabricate devices or components,design electromechanical equipment or systems,design electronic or computer equipment or instrumentation
research engineering aspects of biological or chemical processes,research microbiological or chemical processes or structures,research engineering applications of emerging technologies,research industrial processes or operations
devise research or testing protocols,evaluate new technologies or methods,conduct validation tests of equipment or processes,inspect facilities or sites to determine if they meet specifications or standards
develop operational methods or processes that use green materials or emphasize sustainability,research design or application of green technologies,develop sustainable business strategies or practices,advise others regarding green practices or environmental concerns
develop technical methods or processes,develop organizational methods or procedures,develop technical specifications for systems or equipment,develop new or advanced products or production methods
create models of engineering designs or methods,create physical models or prototypes,research advanced engineering designs or applications,develop technical methods or processes
maintain operational records or records systems,maintain personnel records,maintain data in information systems or databases,document organizational or operational procedures
supervise engineering or other technical personnel,supervise scientific or technical personnel,supervise production or support personnel,provide technical guidance to other personnel
estimate operational costs,estimate costs of goods or services,prepare operational budgets,estimate cost or material requirements
estimate time requirements for development or production projects,estimate technical or resource requirements for development or production projects,estimate labor requirements,estimate cost or material requirements
prepare detailed work plans,review technical documents to plan work,"develop operating strategies, plans, or procedures",confer with technical personnel to prepare designs or operational plans
prepare technical reports for internal use,prepare operational reports,prepare scientific or technical reports or presentations,prepare reports related to compliance matters
"prepare contracts, disclosures, or applications",prepare reports related to compliance matters,prepare proposal documents,prepare financial documents
update technical knowledge,maintain knowledge of current developments in area of expertise,provide technical guidance to other personnel,develop technical methods or processes
evaluate characteristics of equipment or systems,analyze design or requirements information for mechanical equipment or systems,"investigate system, equipment, or product failures","test performance of electrical, electronic, mechanical, or integrated systems or equipment"
advise customers on the use of products or services,advise customers on technical or procedural issues,prepare drawings or diagrams of products or services,negotiate sales or lease agreements for products or services
develop software or computer applications,develop technical methods or processes,operate computer systems,develop business or financial information systems
"analyze operational data to evaluate operations, processes or products",analyze data to inform operational decisions or activities,inspect operational processes,analyze data to assess operational or project effectiveness
conduct environmental audits,analyze environmental regulations to ensure organizational compliance,monitor activities affecting environmental quality,investigate the environmental impact of projects
design industrial processing systems,design industrial equipment,create graphical representations of industrial production systems,design environmental control systems
direct operational or production activities,direct industrial production activities,schedule operational activities,"direct organizational operations, projects, or services"
respond to emergencies to provide assistance,assist engineers or scientists with research,provide technical guidance to other personnel,direct facility maintenance or repair activities
