onetsoc_code,title,task_id,task,dwa_id,dwa_title
11-3051.01,"Quality Control Systems Managers",15405,"Stop production if serious product defects are present.",4.A.1.b.2.I05.D15,"Inspect condition or functioning of facilities or equipment."
11-3051.01,"Quality Control Systems Managers",15405,"Stop production if serious product defects are present.",4.A.4.b.4.I12.D01,"Direct operational or production activities."
11-3051.01,"Quality Control Systems Managers",15406,"Review and approve quality plans submitted by contractors.",4.A.1.a.1.I02.D15,"Review details of technical drawings or specifications."
11-3051.01,"Quality Control Systems Managers",15407,"Review statistical studies, technological advances, or regulatory standards and trends to stay abreast of issues in the field of quality control.",4.A.2.b.3.I01.D08,"Maintain knowledge of current developments in area of expertise."
11-3051.01,"Quality Control Systems Managers",15408,"Generate and maintain quality control operating budgets.",4.A.4.b.4.I09.D04,"Prepare operational budgets."
11-3051.01,"Quality Control Systems Managers",15409,"Evaluate new testing and sampling methodologies or technologies to determine usefulness.",4.A.2.a.1.I07.D02,"Evaluate new technologies or methods."
11-3051.01,"Quality Control Systems Managers",15410,"Coordinate the selection and implementation of quality control equipment, such as inspection gauges.",4.A.4.b.4.I08.D03,"Manage control system activities in organizations."
11-3051.01,"Quality Control Systems Managers",15411,"Collect and analyze production samples to evaluate quality.",4.A.2.a.1.I05.D03,"Evaluate quality of materials or products."
11-3051.01,"Quality Control Systems Managers",15412,"Audit and inspect subcontractor facilities including external laboratories.",4.A.1.b.2.I05.D15,"Inspect condition or functioning of facilities or equipment."
11-3051.01,"Quality Control Systems Managers",15413,"Verify that raw materials, purchased parts or components, in-process samples, and finished products meet established testing and inspection standards.",4.A.2.a.1.I05.D03,"Evaluate quality of materials or products."
11-3051.01,"Quality Control Systems Managers",15414,"Review quality documentation necessary for regulatory submissions and inspections.",4.A.2.a.3.I01.D04,"Review documents or materials for compliance with policies or regulations."
11-3051.01,"Quality Control Systems Managers",15415,"Review and update standard operating procedures or quality assurance manuals.",4.A.3.b.6.I08.D30,"Document organizational or operational procedures."
11-3051.01,"Quality Control Systems Managers",15416,"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.",4.A.3.b.6.I15.D06,"Prepare operational progress or status reports."
11-3051.01,"Quality Control Systems Managers",15417,"Participate in the development of product specifications.",4.A.2.b.2.I07.D02,"Develop specifications for new products or processes."
11-3051.01,"Quality Control Systems Managers",15418,"Monitor development of new products to help identify possible problems for mass production.",4.A.1.a.2.I02.D02,"Monitor facilities or operational systems."
11-3051.01,"Quality Control Systems Managers",15419,"Instruct vendors or contractors on quality guidelines, testing procedures, or ways to eliminate deficiencies.",4.A.4.b.6.I02.D02,"Advise customers on technical or procedural issues."
11-3051.01,"Quality Control Systems Managers",15420,"Identify quality problems or areas for improvement and recommend solutions.",4.A.2.a.4.I07.D09,"Analyze data to assess operational or project effectiveness."
11-3051.01,"Quality Control Systems Managers",15420,"Identify quality problems or areas for improvement and recommend solutions.",4.A.4.b.6.I05.D07,"Recommend organizational process or policy changes."
11-3051.01,"Quality Control Systems Managers",15421,"Instruct staff in quality control and analytical procedures.",4.A.4.b.3.I04.D16,"Conduct employee training programs."
11-3051.01,"Quality Control Systems Managers",15422,"Identify critical points in the manufacturing process and specify sampling procedures to be used at these points.",4.A.2.b.4.I01.D04,"Develop organizational methods or procedures."
11-3051.01,"Quality Control Systems Managers",15423,"Document testing procedures, methodologies, or criteria.",4.A.3.b.6.I08.D30,"Document organizational or operational procedures."
11-3051.01,"Quality Control Systems Managers",15424,"Direct the tracking of defects, test results, or other regularly reported quality control data.",4.A.4.b.4.I12.D39,"Direct organizational operations, projects, or services."
11-3051.01,"Quality Control Systems Managers",15425,"Create and implement inspection and testing criteria or procedures.",4.A.2.b.1.I09.D01,"Implement organizational process or policy changes."
11-3051.01,"Quality Control Systems Managers",15425,"Create and implement inspection and testing criteria or procedures.",4.A.2.b.4.I01.D02,"Develop operating strategies, plans, or procedures."
11-3051.01,"Quality Control Systems Managers",15426,"Confer with marketing and sales departments to define client requirements and expectations.",4.A.4.a.2.I03.D14,"Confer with organizational members to accomplish work activities."
11-3051.01,"Quality Control Systems Managers",15427,"Communicate quality control information to all relevant organizational departments, outside vendors, or contractors.",4.A.4.a.1.I02.D03,"Communicate organizational policies and procedures."
11-3051.01,"Quality Control Systems Managers",15427,"Communicate quality control information to all relevant organizational departments, outside vendors, or contractors.",4.A.4.a.1.I02.D05,"Communicate organizational information to customers or other stakeholders."
11-3051.01,"Quality Control Systems Managers",15428,"Analyze quality control test results and provide feedback and interpretation to production management or staff.",4.A.2.a.4.I07.D12,"Analyze data to inform operational decisions or activities."
11-3051.01,"Quality Control Systems Managers",15428,"Analyze quality control test results and provide feedback and interpretation to production management or staff.",4.A.4.a.2.I03.D14,"Confer with organizational members to accomplish work activities."
11-3051.01,"Quality Control Systems Managers",15429,"Oversee workers including supervisors, inspectors, or laboratory workers engaged in testing activities.",4.A.4.b.4.I01.D13,"Supervise employees."
11-3051.01,"Quality Control Systems Managers",15430,"Monitor performance of quality control systems to ensure effectiveness and efficiency.",4.A.1.a.2.I02.D05,"Monitor organizational procedures to ensure proper functioning."
11-3051.01,"Quality Control Systems Managers",15431,"Direct product testing activities throughout production cycles.",4.A.4.b.4.I08.D03,"Manage control system activities in organizations."
