container,source,path_rel,basename,ext,size_bytes,size_kb,modified,artifact_type,pipeline_expected,pipeline_tag_in_name,suffix_applicable,suffix_expected,suffix_present,pipeline_tag_mismatch,abs_path
results_dwa2,dir,best_thresholds_n221.csv,best_thresholds_n221.csv,.csv,18136,17.7,2025-09-17T14:33:02,best_thresholds,_dwa,unknown,True,_dwa,False,False,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa2/best_thresholds_n221.csv
results_dwa2,dir,errors_fn.csv,errors_fn.csv,.csv,154,0.2,2025-09-17T14:33:02,fn,_dwa,unknown,False,_dwa,,False,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa2/errors_fn.csv
results_dwa2,dir,errors_fp.csv,errors_fp.csv,.csv,6580,6.4,2025-09-17T14:33:02,fp,_dwa,unknown,False,_dwa,,False,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa2/errors_fp.csv
results_dwa2,dir,near_threshold.csv,near_threshold.csv,.csv,3704,3.6,2025-09-17T14:33:02,near_threshold,_dwa,unknown,False,_dwa,,False,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa2/near_threshold.csv
results_dwa2,dir,neighbors_embedding_data_deberta_sentence_transformer_A_semantic_only_n221_k60_r10.csv,neighbors_embedding_data_deberta_sentence_transformer_A_semantic_only_n221_k60_r10.csv,.csv,239932,234.3,2025-09-17T14:31:36,neighbors,_dwa,unknown,True,_dwa,False,False,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa2/neighbors_embedding_data_deberta_sentence_transformer_A_semantic_only_n221_k60_r10.csv
results_dwa2,dir,neighbors_embedding_data_deberta_sentence_transformer_B_hybrid_light_n221_k60_r10.csv,neighbors_embedding_data_deberta_sentence_transformer_B_hybrid_light_n221_k60_r10.csv,.csv,248120,242.3,2025-09-17T14:31:36,neighbors,_dwa,unknown,True,_dwa,False,False,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa2/neighbors_embedding_data_deberta_sentence_transformer_B_hybrid_light_n221_k60_r10.csv
results_dwa2,dir,neighbors_embedding_data_deberta_sentence_transformer_C_lex_sem_strong_n221_k60_r10.csv,neighbors_embedding_data_deberta_sentence_transformer_C_lex_sem_strong_n221_k60_r10.csv,.csv,256172,250.2,2025-09-17T14:31:38,neighbors,_dwa,unknown,True,_dwa,False,False,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa2/neighbors_embedding_data_deberta_sentence_transformer_C_lex_sem_strong_n221_k60_r10.csv
results_dwa2,dir,neighbors_embedding_data_deberta_sentence_transformer_D_zfilter_n221_k60_r10.csv,neighbors_embedding_data_deberta_sentence_transformer_D_zfilter_n221_k60_r10.csv,.csv,268304,262.0,2025-09-17T14:31:38,neighbors,_dwa,unknown,True,_dwa,False,False,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa2/neighbors_embedding_data_deberta_sentence_transformer_D_zfilter_n221_k60_r10.csv
results_dwa2,dir,neighbors_embedding_data_deberta_sentence_transformer_E_diversity_n221_k60_r10.csv,neighbors_embedding_data_deberta_sentence_transformer_E_diversity_n221_k60_r10.csv,.csv,247830,242.0,2025-09-17T14:31:40,neighbors,_dwa,unknown,True,_dwa,False,False,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa2/neighbors_embedding_data_deberta_sentence_transformer_E_diversity_n221_k60_r10.csv
results_dwa2,dir,neighbors_embedding_data_deberta_sentence_transformer_F_recall_first_n221_k80_r10.csv,neighbors_embedding_data_deberta_sentence_transformer_F_recall_first_n221_k80_r10.csv,.csv,248691,242.9,2025-09-17T14:31:40,neighbors,_dwa,unknown,True,_dwa,False,False,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa2/neighbors_embedding_data_deberta_sentence_transformer_F_recall_first_n221_k80_r10.csv
results_dwa2,dir,neighbors_embedding_data_deberta_sentence_transformer_G_mnn_heavy_n221_k60_r10.csv,neighbors_embedding_data_deberta_sentence_transformer_G_mnn_heavy_n221_k60_r10.csv,.csv,248698,242.9,2025-09-17T14:31:42,neighbors,_dwa,unknown,True,_dwa,False,False,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa2/neighbors_embedding_data_deberta_sentence_transformer_G_mnn_heavy_n221_k60_r10.csv
results_dwa2,dir,neighbors_embedding_data_deberta_sentence_transformer_H_zfilter_n221_k60_r10.csv,neighbors_embedding_data_deberta_sentence_transformer_H_zfilter_n221_k60_r10.csv,.csv,244515,238.8,2025-09-17T14:31:42,neighbors,_dwa,unknown,True,_dwa,False,False,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa2/neighbors_embedding_data_deberta_sentence_transformer_H_zfilter_n221_k60_r10.csv
