dwa_original,skill1,skill2,skill3,skill1_id,skill2_id,skill3_id
train personnel on proper operational procedures,personnel management,understand operational risk scenario analysis,efficient transportation systems,6918d9132472,74fe0528c27f,995c33174219
prepare procedural documents,documents,prepare data,read legal documents,21f64da1e579,5d45850c5baa,6b306e6c84b1
"recommend technical design or process changes to improve efficiency, quality, or performance",process design,quality improvement,performance evaluation skills for recommender systems,103eab151086,a7c4c4994d02,58319ec211bf
confer with technical personnel to prepare designs or operational plans,learn to engage with technical concepts,prepare data,personnel management,d4793dfe8103,5d45850c5baa,6918d9132472
"communicate technical information to suppliers, contractors, or regulatory agencies",regulatory compliance,using email to communicate,learn to engage with technical concepts,4e4ff7039f22,5f8ae87ccde0,d4793dfe8103
design medical devices or appliances,design of embedded devices,medical research,medical device,a558f59f975e,5e15d5526624,c88a10398d0d
research engineering aspects of biological or chemical processes,chemical engineering,biological neuron model,understand the research process,74f3fd3bb3da,3444f93619e5,22b12fb7265d
devise research or testing protocols,concept testing,network protocols,devise a customized plan for optimizing your eating patterns,3c87def9324a,96f7a1b44b32,01904a63687c
develop operational methods or processes that use green materials or emphasize sustainability,green strategy,raw materials and processes,sustainability,4d414f6fd118,4ec4f7a20f54,ab3b66f24ad9
develop technical methods or processes,product development processes,methods,technical interviewing,5402ba93471c,a9ac5a6cc3cb,e9ec0a2c6e6d
create models of engineering designs or methods,study designs,model-based system engineering,engineering design,0207b591a5d5,5ccae7640253,d9855438ae33
maintain operational records or records systems,electronic health records,operating systems,identification systems,9bc14bd09c21,f1624e5afb6a,97b075243156
supervise engineering or other technical personnel,personnel management,technical support,civil engineering,6918d9132472,6544768291be,730f2890814f
estimate operational costs,cost estimate,understand operational risk scenario analysis,transaction costs-modeling,bd1d85f33bd2,74fe0528c27f,057972302b68
estimate time requirements for development or production projects,production,time management,requirements analysis,fd89784e59c7,ed4e96dec61f,3893cbb4049e
prepare detailed work plans,prepare a detailed sales call plan,work breakdown structure,prepare data,506583358173,ebcee30ccff3,5d45850c5baa
prepare technical reports for internal use,reports,prepare data,internal control,a8445719836f,5d45850c5baa,88e59ccf33be
"prepare contracts, disclosures, or applications",contracts,health transparency and disclosures,ability to prepare financial statements,e9839443e2c0,37c5c68a40e8,7e56613a2ebc
update technical knowledge,knowledge acquisition,technical support,"create, read, update and delete",549533baa6d9,6544768291be,af05ac064c3c
evaluate characteristics of equipment or systems,defining systems,personal protective equipment,ar characteristics,9e51eeb429ae,414d1ab8da6a,805fc5c1d17a
advise customers on the use of products or services,understand the impact on pricing as customers order online,restful services,manage the development and use of different research instruments,5653d4592b47,3983e728b504,7e31f9e44f69
develop software or computer applications,computer software,software application development,use at in popular applications,a6ec7cc907d1,81353ee524c4,d007e0bd579b
